step,epoch,eval_loss,eval_bleu,eval_chrf,eval_runtime,eval_samples_per_second,eval_steps_per_second
1830,1.0,1.0881214141845703,38.025881414063925,53.687333377485125,572.8207,15.329,0.48
3660,2.0,0.9421471953392029,46.28107721864208,60.2994263015907,610.4814,14.384,0.45
5490,3.0,0.8745409250259399,50.245630150241944,63.04062857811855,479.8563,18.299,0.573
7320,4.0,0.8416480422019958,52.89290189983886,64.45872368037297,452.4235,19.409,0.608
9150,5.0,0.8318288326263428,53.630863740630716,65.22119792139188,453.8854,19.346,0.606
